iter	MAE	RMSE
0	1791.151272	2520.408443
1	1775.236295	2501.779649
2	1758.893607	2482.618339
3	1745.236281	2467.108863
4	1733.029056	2452.078861
5	1720.398249	2436.471719
6	1706.207914	2416.563902
7	1693.060199	2401.084371
8	1678.47444	2380.966917
9	1664.650976	2361.854124
10	1654.761224	2349.283635
11	1648.767571	2341.252744
12	1637.361892	2327.389009
13	1626.56723	2314.302647
14	1615.033951	2301.451656
15	1605.258235	2289.613808
16	1593.961131	2275.948357
17	1584.713091	2263.759194
18	1579.104884	2255.885162
19	1570.863945	2245.498238
20	1565.664988	2237.112482
21	1557.342194	2226.017996
22	1552.573499	2218.783624
23	1546.240333	2210.546184
24	1541.819747	2202.323021
25	1536.274653	2194.901303
26	1531.09938	2187.398685
27	1526.144303	2179.206624
28	1520.667739	2170.840967
29	1517.146723	2165.761753
30	1512.785119	2159.360116
31	1508.701748	2152.223906
32	1503.963487	2145.977295
33	1501.605243	2141.247943
34	1497.59136	2135.400644
35	1494.478529	2130.661378
36	1490.681011	2125.908851
37	1484.982842	2118.997005
38	1478.836041	2109.639961
39	1474.424574	2102.094821
40	1471.784261	2097.835504
41	1467.782057	2090.122299
42	1465.982332	2085.739036
43	1464.578627	2082.262297
44	1462.494762	2077.435922
45	1459.957693	2070.067625
46	1456.428717	2062.364039
47	1454.177901	2058.732031
48	1453.268023	2055.596892
49	1451.045523	2051.210277
50	1448.589381	2048.210809
51	1446.279284	2042.195272
52	1443.806597	2038.730538
53	1442.236195	2035.703237
54	1440.404124	2030.940854
55	1437.88529	2027.558696
56	1436.608402	2025.266795
57	1434.977693	2020.368324
58	1433.058781	2017.430163
59	1431.967299	2014.705434
60	1430.26259	2011.974288
61	1428.801889	2008.486743
62	1428.214309	2006.641603
63	1426.131823	2003.944752
64	1423.830737	1999.354213
65	1421.015157	1993.628659
66	1418.927062	1991.534695
67	1417.980028	1990.220561
68	1415.689893	1985.057651
69	1415.368969	1983.23921
70	1412.565408	1980.121728
71	1410.35164	1977.52615
72	1409.347744	1973.797919
73	1406.160428	1968.175474
74	1405.058343	1965.563546
75	1404.867165	1964.48722
76	1403.35434	1962.507345
77	1402.161866	1960.673431
78	1400.852895	1956.576781
79	1399.560332	1953.576432
80	1397.815816	1951.388871
81	1396.705869	1948.16372
82	1396.341524	1947.122265
83	1395.298969	1942.333095
84	1394.396	1941.232958
85	1392.879948	1938.801995
86	1391.970515	1935.4776
87	1390.051911	1932.481272
88	1388.800293	1930.759905
89	1388.590676	1929.510454
90	1388.112953	1928.215586
91	1387.890542	1927.628715
92	1385.621764	1923.297541
93	1383.96106	1921.155712
94	1382.345801	1919.360047
95	1381.463251	1916.627463
96	1380.575932	1915.613273
97	1378.651545	1913.784469
98	1377.554457	1912.434607
99	1376.056477	1910.256485
100	1374.632428	1908.609265
101	1372.435277	1904.860998
102	1371.252024	1901.850936
103	1369.803185	1900.617855
104	1368.226979	1898.192494
105	1367.0829	1895.103325
106	1366.668659	1894.362398
107	1365.38134	1892.741323
108	1363.370164	1890.696385
109	1361.619879	1888.982087
110	1360.415476	1887.734283
111	1359.308263	1884.580724
112	1358.66021	1883.507481
113	1356.659116	1880.585493
114	1355.910457	1878.626029
115	1354.788523	1876.022337
116	1353.847725	1874.531532
117	1352.510972	1873.136891
118	1352.405956	1872.902441
119	1352.244807	1872.53575
120	1351.47118	1871.417885
121	1350.041067	1869.146229
122	1349.434258	1868.399711
123	1347.867096	1866.878884
124	1347.092385	1865.776009
125	1347.143504	1865.491376
126	1345.619057	1864.100963
127	1344.340013	1862.761918
128	1343.686068	1861.671552
129	1342.084622	1859.424959
130	1341.09815	1856.202024
131	1340.032372	1853.185258
132	1338.419138	1850.695626
133	1337.741049	1849.305848
134	1336.726225	1847.398889
135	1335.16414	1844.102105
136	1334.933831	1842.78754
137	1334.022733	1841.714208
138	1333.792264	1841.414643
139	1333.898305	1841.39393
140	1333.960524	1841.304771
141	1332.682888	1840.301934
142	1331.294415	1837.185944
143	1330.457539	1835.586174
144	1329.14836	1832.741469
145	1328.400933	1831.398732
146	1326.335114	1827.563562
147	1324.874172	1826.153113
148	1323.13521	1823.503295
149	1321.685583	1821.235847
150	1320.389846	1820.00263
151	1318.694641	1817.396916
152	1317.674541	1815.821361
153	1316.52398	1813.473587
154	1315.063354	1811.260019
155	1314.671175	1810.789328
156	1314.006181	1809.998093
157	1312.507694	1807.645823
158	1311.635331	1806.209894
159	1309.651478	1802.320523
160	1309.038399	1801.278893
161	1308.384884	1799.825735
162	1308.220103	1799.482855
163	1306.445545	1797.614837
164	1305.07001	1794.767451
165	1304.888502	1794.511374
166	1304.207349	1793.87953
167	1302.954095	1791.383161
168	1302.237709	1790.340027
169	1301.088096	1788.754418
170	1299.963126	1787.137014
171	1298.852221	1784.594752
172	1297.919129	1782.096065
173	1296.517159	1780.721474
174	1295.324243	1779.004511
175	1295.013641	1778.617186
176	1293.868378	1776.155518
177	1292.10938	1773.102843
178	1291.480197	1771.444578
179	1290.10555	1768.826659
180	1288.518104	1766.227384
181	1287.804389	1764.105376
182	1286.37433	1762.628755
183	1286.335788	1762.475992
184	1284.819963	1759.846852
185	1284.020313	1758.220928
186	1283.016581	1756.20897
187	1282.092558	1755.2056
188	1281.6124	1754.805611
189	1280.835029	1753.41086
190	1279.711348	1750.960666
191	1278.685128	1750.021059
192	1277.755825	1748.163996
193	1276.513651	1746.669047
194	1275.445347	1744.957589
195	1274.328803	1743.37156
196	1273.355881	1741.013627
197	1272.298728	1738.843713
198	1271.107454	1736.429993
199	1270.298508	1735.315279
200	1269.036007	1732.971547
201	1267.184396	1729.712483
202	1265.918972	1727.378442
203	1265.221188	1726.715203
204	1264.036706	1724.468523
205	1262.795588	1722.219224
206	1262.28405	1721.863369
207	1261.591135	1720.261688
208	1260.211239	1716.988987
209	1259.661015	1715.243771
210	1258.802436	1714.197463
211	1258.474753	1713.304045
212	1256.914318	1711.942569
213	1254.850405	1709.178473
214	1253.58589	1706.544963
215	1252.753495	1704.114576
216	1251.752355	1702.50933
217	1250.89298	1699.963309
218	1249.978655	1697.712999
219	1248.384037	1696.382125
220	1246.885009	1693.199898
221	1245.499552	1691.106178
222	1245.026169	1690.260154
223	1243.447487	1688.667848
224	1242.239667	1687.007859
225	1240.835833	1684.491003
226	1239.543169	1681.531024
227	1238.699951	1679.873536
228	1237.37242	1678.05812
229	1236.210745	1675.165161
230	1235.018093	1672.467283
231	1234.400283	1669.929518
232	1232.828324	1667.068975
233	1231.691133	1664.228797
234	1230.691216	1663.251369
235	1229.591878	1661.55472
236	1228.384366	1660.116375
237	1227.390965	1658.474088
238	1226.388918	1656.614473
239	1225.3118	1653.69012
240	1224.139842	1651.085711
241	1222.724285	1648.112967
242	1221.566273	1645.565636
243	1220.060105	1643.331302
244	1219.455017	1642.435928
245	1218.028824	1640.244821
246	1217.023871	1638.81154
247	1215.747142	1637.000122
248	1214.952049	1635.99474
249	1213.450459	1633.65611
250	1212.545952	1631.474857
251	1211.627531	1629.39545
252	1210.424389	1627.214704
253	1209.489048	1625.041483
254	1208.225016	1623.277874
255	1207.16891	1621.543608
256	1205.791653	1618.654881
257	1204.546456	1616.934328
258	1203.700408	1614.991654
259	1202.757581	1613.039644
260	1201.543648	1610.925498
261	1200.995583	1610.143033
262	1199.799119	1607.785689
263	1198.585124	1606.179886
264	1197.360091	1604.424663
265	1196.546695	1603.455579
266	1195.518828	1601.807607
267	1193.982131	1600.17663
268	1192.719296	1597.351552
269	1191.910874	1596.414531
270	1190.159949	1594.15617
271	1188.509593	1592.442207
272	1186.544987	1589.803193
273	1185.661847	1588.437253
274	1184.033428	1586.763941
275	1183.232848	1584.359391
276	1182.165671	1582.134148
277	1181.236963	1580.672872
278	1180.414291	1578.465389
279	1179.498258	1576.675335
280	1178.263571	1574.979011
281	1176.656285	1573.333171
282	1175.555952	1571.958349
283	1174.769222	1570.254151
284	1173.628816	1568.398935
285	1172.734449	1565.710399
286	1171.902507	1563.907286
287	1171.022304	1561.278467
288	1169.382373	1558.793359
289	1168.657399	1557.064458
290	1167.500766	1554.878353
291	1166.597352	1553.30966
292	1165.755907	1551.682233
293	1164.674979	1550.674308
294	1163.506942	1549.197055
295	1162.128516	1547.854681
296	1161.296725	1546.259958
297	1160.626259	1545.290593
298	1159.066203	1543.700165
299	1158.260552	1541.620753
300	1156.60469	1539.318457
301	1155.78231	1537.760807
302	1154.179754	1535.57129
303	1153.661054	1533.385914
304	1152.850216	1531.850055
305	1152.064655	1529.832819
306	1151.003119	1528.403805
307	1150.222341	1526.414403
308	1149.392974	1524.088871
309	1148.517705	1523.157052
310	1147.503609	1521.750954
311	1146.368925	1519.914021
312	1145.668375	1518.194687
313	1144.896842	1516.274748
314	1144.238978	1515.269553
315	1143.236077	1513.894171
316	1142.338505	1511.671937
317	1141.295126	1510.648766
318	1140.403306	1509.295137
319	1139.606945	1507.994262
320	1138.059557	1506.408932
321	1136.910462	1504.611562
322	1135.631489	1500.950864
323	1134.849483	1499.524107
324	1134.019472	1497.978474
325	1133.388864	1497.033133
326	1132.624536	1495.664852
327	1131.756813	1494.034557
328	1130.944551	1492.812069
329	1129.508807	1491.341723
330	1128.554971	1490.032407
331	1127.45157	1488.829153
332	1126.782647	1486.822245
333	1125.898084	1484.729209
334	1124.918769	1483.405319
335	1124.311841	1482.496342
336	1123.58737	1481.193713
337	1122.621589	1479.998608
338	1121.851626	1479.175102
339	1120.616151	1477.661435
340	1120.069881	1475.791348
341	1118.774296	1474.275035
342	1117.685207	1472.5318
343	1116.60323	1471.522502
344	1115.645007	1470.250513
345	1114.54041	1468.537648
346	1113.298547	1466.615693
347	1112.552171	1465.415067
348	1111.257231	1464.111109
349	1110.552861	1462.268133
350	1109.845524	1461.156348
351	1109.107141	1460.348098
352	1108.047612	1458.684257
353	1107.328767	1457.882546
354	1106.81793	1457.015798
355	1106.230848	1456.156481
356	1105.420841	1454.981871
357	1104.716744	1454.360077
358	1103.662588	1452.73324
359	1102.825689	1450.826324
360	1101.827208	1449.127686
361	1101.614907	1448.581914
362	1100.680998	1447.343309
363	1099.998708	1446.378725
364	1098.940313	1444.798182
365	1098.214464	1444.024587
366	1097.404115	1443.007715
367	1096.601846	1441.855482
368	1095.923892	1440.564262
369	1095.041261	1439.417203
370	1094.537885	1438.850461
371	1093.637518	1437.69202
372	1092.748229	1436.041978
373	1091.269121	1434.273336
374	1090.480946	1433.153863
375	1089.946589	1431.360943
376	1088.525496	1429.626194
377	1087.822846	1428.546373
378	1086.995413	1427.460226
379	1086.114965	1426.33759
380	1085.611117	1424.686898
381	1084.368267	1423.349905
382	1083.490726	1421.714223
383	1082.312164	1420.556703
384	1081.525399	1418.843906
385	1080.654707	1417.736002
386	1080.294477	1417.152746
387	1079.43364	1416.055749
388	1078.166528	1415.044254
389	1076.713597	1413.560174
390	1074.766304	1411.927099
391	1073.597492	1410.839565
392	1072.984122	1409.717691
393	1072.208723	1408.05374
394	1071.600964	1406.95018
395	1070.307503	1405.618209
396	1069.429704	1403.99303
397	1068.834335	1402.906587
398	1068.290906	1402.142373
399	1067.418288	1400.536496
400	1066.345127	1399.004186
401	1065.596032	1397.959169
402	1064.458275	1396.760389
403	1063.483567	1395.286989
404	1062.211721	1394.161761
405	1061.112782	1392.823744
406	1060.285654	1391.816133
407	1059.677253	1390.985684
408	1058.479855	1389.92469
409	1057.799015	1389.152531
410	1057.062084	1388.12363
411	1055.556602	1385.164426
412	1054.60814	1383.864797
413	1053.110554	1380.946843
414	1052.473986	1379.631712
415	1051.819693	1378.636763
416	1050.557961	1377.046004
417	1050.058103	1376.31764
418	1048.584469	1373.450936
419	1047.73676	1371.885812
420	1046.895378	1370.342441
421	1046.060269	1368.820523
422	1045.2369	1367.319764
423	1044.421166	1365.839874
424	1043.774203	1364.858807
425	1042.856262	1363.513904
426	1041.949873	1362.199635
427	1041.111528	1361.418509
428	1040.76642	1360.869441
429	1040.263455	1360.156243
430	1039.576553	1359.190523
431	1039.346068	1358.807228
432	1038.436164	1357.531814
433	1037.31422	1356.307047
434	1036.15894	1355.063566
435	1035.515581	1354.395942
436	1034.770319	1353.704183
437	1033.97203	1352.287734
438	1033.179717	1350.891102
439	1031.870408	1349.754348
440	1031.005388	1348.537959
441	1030.305306	1347.573711
442	1029.162304	1346.352684
443	1028.308994	1345.332216
444	1027.841407	1343.803684
445	1027.062549	1342.437839
446	1026.260978	1341.469959
447	1025.469323	1340.509443
448	1024.792371	1339.302447
449	1023.351223	1337.713563
450	1022.491317	1336.550938
451	1021.89788	1335.667345
452	1021.155095	1334.180869
453	1020.649099	1333.450141
454	1019.528153	1332.043906
455	1017.73989	1329.19033
456	1016.984627	1327.859297
457	1016.250305	1327.203579
458	1015.408107	1326.203535
459	1014.36984	1325.253883
460	1013.537881	1324.241802
461	1012.710253	1323.112958
462	1011.720732	1322.252287
463	1010.559772	1320.928622
464	1009.889994	1320.285486
465	1009.108967	1319.328712
466	1008.532048	1318.773872
467	1007.700499	1317.799833
468	1006.880776	1316.692983
469	1006.392715	1315.446906
470	1005.706961	1314.692255
471	1004.941306	1313.766763
472	1004.505936	1312.494181
473	1003.881938	1311.569128
474	1002.963809	1310.288349
475	1002.57287	1309.79808
476	1001.994122	1308.845145
477	1001.225574	1308.192925
478	1000.462622	1307.339066
479	999.7014169	1306.455003
480	998.8828114	1305.527897
481	998.3071344	1304.687177
482	997.708717	1304.101829
483	996.5186247	1303.111444
484	995.9432918	1302.606104
485	995.4112872	1301.666144
486	994.5029624	1300.564503
487	993.7128249	1299.668347
488	993.0057897	1298.724241
489	992.2783395	1297.820113
490	991.5409199	1297.213184
491	990.4701732	1296.061148
492	989.8083595	1295.179277
493	989.3152088	1294.376088
494	988.399165	1293.650019
495	987.6983902	1292.815488
496	987.2735982	1291.59304
497	986.4979951	1290.723253
498	985.6794118	1289.761869
499	985.0250917	1288.895736
500	984.3594585	1288.079869
501	983.9017865	1287.481629
502	982.6169299	1284.714017
503	981.8372782	1283.692869
504	979.7211778	1280.596521
505	978.9139905	1279.293848
506	977.8462048	1278.154455
507	975.7592062	1275.112454
508	975.1070053	1274.039762
509	974.3954275	1273.102184
510	973.7771192	1272.413423
511	972.0776537	1269.277156
512	971.7710284	1268.831735
513	970.7168883	1267.710756
514	969.7756414	1266.881013
515	969.0357431	1265.931503
516	968.2636469	1264.656374
517	967.3063994	1263.532993
518	966.7333406	1262.718343
519	965.8287546	1261.834657
520	965.110836	1261.022881
521	964.483792	1260.203288
522	963.4466357	1259.123028
523	962.9297271	1258.562156
524	962.46893	1257.441443
525	961.9110866	1256.572774
526	961.2909545	1255.770676
527	960.8744234	1254.673057
528	960.2731201	1254.009992
529	959.8337785	1253.432798
530	959.1236261	1252.640338
531	959.1836446	1252.453977
532	958.6536221	1251.70398
533	957.8162125	1250.308104
534	956.8241083	1249.150112
535	955.46993	1246.426844
536	954.4556001	1245.38366
537	953.7528195	1244.601259
538	952.7498015	1243.579481
539	952.4685994	1243.164576
540	951.7754705	1242.400593
541	951.1685599	1241.621595
542	950.4410481	1240.831164
543	949.5329989	1239.757465
544	948.5919749	1238.685395
545	947.9071015	1237.970939
546	947.4629711	1236.929992
547	946.7965052	1235.616972
548	946.1210943	1234.901176
549	945.3117176	1233.534228
550	944.880383	1232.534779
551	944.4509846	1231.56631
552	943.649383	1230.224569
553	943.0362804	1229.346649
554	942.2408089	1228.024336
555	941.3353258	1226.999558
556	940.9421542	1226.04603
557	940.3978339	1225.295701
558	939.6525022	1224.260213
559	939.0369323	1223.381083
560	938.5862165	1222.738068
561	936.9673536	1220.067991
562	935.99323	1219.081575
563	935.1922006	1217.771943
564	933.4747064	1214.858799
565	932.9947371	1214.405327
566	932.4250085	1213.609512
567	931.6955481	1212.823065
568	930.9620705	1211.811967
569	930.0091856	1210.854571
570	929.3548576	1210.028597
571	928.5780669	1209.030089
572	928.0528617	1208.325386
573	927.8569147	1207.939539
574	926.9604393	1206.97887
575	926.2154318	1205.791604
576	925.2727952	1204.856151
577	924.3655166	1203.962876
578	923.784815	1203.161445
579	922.8637307	1202.308177
580	922.1746547	1201.547146
